diseaseFromSourceMappedId,targetId
EFO_0004612,ENSG00000132170
EFO_0004612,ENSG00000084674
EFO_0004612,ENSG00000166035
EFO_0004612,ENSG00000087237
EFO_0004612,ENSG00000165029
EFO_0004612,ENSG00000132855
EFO_0004612,ENSG00000025434
EFO_0004612,ENSG00000110243
EFO_0004612,ENSG00000175445
EFO_0004612,ENSG00000118137
EFO_0004612,ENSG00000073060
EFO_0004612,ENSG00000166819
EFO_0004612,ENSG00000152270
EFO_0004612,ENSG00000167772
EFO_0004612,ENSG00000101670
EFO_0004612,ENSG00000161649
EFO_0004612,ENSG00000135218
EFO_0004612,ENSG00000213398
EFO_0004612,ENSG00000285330
EFO_0004612,ENSG00000010327
EFO_0004612,ENSG00000167113
EFO_0004612,ENSG00000111252
EFO_0004612,ENSG00000151414
EFO_0004612,ENSG00000110245
EFO_0004612,ENSG00000123739
EFO_0004612,ENSG00000155659
EFO_0004612,ENSG00000100979
EFO_0004612,ENSG00000196660
EFO_0004612,ENSG00000196616
EFO_0004612,ENSG00000168769
EFO_0004612,ENSG00000186943
EFO_0004612,ENSG00000124257
EFO_0004612,ENSG00000130173
EFO_0004612,ENSG00000161547
EFO_0004612,ENSG00000165810
EFO_0004612,ENSG00000146830
EFO_0004612,ENSG00000141452
EFO_0004612,ENSG00000124920
EFO_0004612,ENSG00000060566
