diseaseFromSourceMappedId,targetId
EFO_0004309,ENSG00000198563
EFO_0004309,ENSG00000090534
EFO_0004309,ENSG00000248672
EFO_0004309,ENSG00000167460
EFO_0004309,ENSG00000101162
EFO_0004309,ENSG00000165702
EFO_0004309,ENSG00000030110
EFO_0004309,ENSG00000111252
EFO_0004309,ENSG00000117400
EFO_0004309,ENSG00000152382
EFO_0004309,ENSG00000168769
EFO_0004309,ENSG00000185245
EFO_0004309,ENSG00000204290
EFO_0004309,ENSG00000141977
EFO_0004309,ENSG00000135218
EFO_0004309,ENSG00000123739
EFO_0004309,ENSG00000205436
EFO_0004309,ENSG00000005961
EFO_0004309,ENSG00000205639
EFO_0004309,ENSG00000243649
EFO_0004309,ENSG00000112079
EFO_0004309,ENSG00000183765
EFO_0004309,ENSG00000066827
EFO_0004309,ENSG00000052749
EFO_0004309,ENSG00000096968
EFO_0004309,ENSG00000196712
EFO_0004309,ENSG00000179218
EFO_0004309,ENSG00000161547
EFO_0004309,ENSG00000234745
EFO_0004309,ENSG00000203618
EFO_0004309,ENSG00000159216
EFO_0004309,ENSG00000204388
EFO_0004309,ENSG00000119772
EFO_0004309,ENSG00000173064
EFO_0004309,ENSG00000244255
EFO_0004309,ENSG00000042429
EFO_0004309,ENSG00000171552
EFO_0004309,ENSG00000106991
EFO_0004309,ENSG00000099331
EFO_0004309,ENSG00000115956
EFO_0004309,ENSG00000080031
EFO_0004309,ENSG00000145703
EFO_0004309,ENSG00000106327
EFO_0004309,ENSG00000162511
EFO_0004309,ENSG00000240505
EFO_0004309,ENSG00000054219
EFO_0004309,ENSG00000160271
EFO_0004309,ENSG00000111249
EFO_0004309,ENSG00000169704
EFO_0004309,ENSG00000162711
EFO_0004309,ENSG00000139567
EFO_0004309,ENSG00000175984
EFO_0004309,ENSG00000105726
EFO_0004309,ENSG00000204469
EFO_0004309,ENSG00000285245
EFO_0004309,ENSG00000204424
EFO_0004309,ENSG00000100241
EFO_0004309,ENSG00000204539
EFO_0004309,ENSG00000089234
EFO_0004309,ENSG00000169607
EFO_0004309,ENSG00000110245
EFO_0004309,ENSG00000160796
EFO_0004309,ENSG00000259207
EFO_0004309,ENSG00000107014
EFO_0004309,ENSG00000105397
EFO_0004309,ENSG00000130427
EFO_0004309,ENSG00000273217
EFO_0004309,ENSG00000235863
EFO_0004309,ENSG00000250641
EFO_0004309,ENSG00000158987
EFO_0004309,ENSG00000204516
EFO_0004309,ENSG00000131482
EFO_0004309,ENSG00000204842
EFO_0004309,ENSG00000066056
EFO_0004309,ENSG00000117616
EFO_0004309,ENSG00000165124
EFO_0004309,ENSG00000204420
EFO_0004309,ENSG00000178607
EFO_0004309,ENSG00000204542
EFO_0004309,ENSG00000204475
EFO_0004309,ENSG00000160145
