diseaseFromSourceMappedId,targetId
EFO_0004574,ENSG00000163631
EFO_0004574,ENSG00000169174
EFO_0004574,ENSG00000118137
EFO_0004574,ENSG00000084674
EFO_0004574,ENSG00000132855
EFO_0004574,ENSG00000130164
EFO_0004574,ENSG00000213398
EFO_0004574,ENSG00000141505
EFO_0004574,ENSG00000015520
EFO_0004574,ENSG00000166035
EFO_0004574,ENSG00000079805
EFO_0004574,ENSG00000165029
EFO_0004574,ENSG00000138075
EFO_0004574,ENSG00000146830
EFO_0004574,ENSG00000004939
EFO_0004574,ENSG00000010327
EFO_0004574,ENSG00000145850
EFO_0004574,ENSG00000213996
EFO_0004574,ENSG00000104859
EFO_0004574,ENSG00000101670
EFO_0004574,ENSG00000125844
EFO_0004574,ENSG00000104870
EFO_0004574,ENSG00000179846
EFO_0004574,ENSG00000278318
EFO_0004574,ENSG00000073008
EFO_0004574,ENSG00000143921
EFO_0004574,ENSG00000111252
EFO_0004574,ENSG00000073060
EFO_0004574,ENSG00000146477
EFO_0004574,ENSG00000231852
EFO_0004574,ENSG00000163694
EFO_0004574,ENSG00000131482
EFO_0004574,ENSG00000106633
EFO_0004574,ENSG00000261701
EFO_0004574,ENSG00000106266
EFO_0004574,ENSG00000171564
